"state_fips","county_fips","pop1996","pop1997","pop1998","pop1999","state","county","pop2000","pop2001","pop2002","pop2003","pop2004","pop2005","pop2006","pop2007","pop2008","pop2009","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","pop2016","pop2017","pop2018","pop2019"
13,85,13046,13953,14898,15945,"Georgia","Dawson",16304,16919,17546,18403,18810,19666,20721,21602,22104,22555,22328,22340,22513,22732,23022,23369,23668,24406,25127,26108
13,87,26433,26679,27021,27128,"Georgia","Decatur",28245,27982,28079,28064,28125,27962,28377,28543,28754,28838,27817,27651,27442,27391,27167,27049,26679,26706,26573,26404
13,89,587594,590443,592870,596853,"Georgia","DeKalb",668826,682207,690039,697130,704512,716778,727078,733746,740426,747274,692443,698329,710557,717740,724892,734434,746802,751176,754906,759297
13,9,41660,41902,41883,42181,"Georgia","Baldwin",44738,44716,45061,45136,45446,45699,45754,46521,46950,46337,45704,45175,46510,46178,45910,45549,45259,44963,44893,44890
13,91,18030,18087,18120,18146,"Georgia","Dodge",19156,19296,19346,19517,19483,19506,19686,19772,19764,19749,21761,21614,21517,21429,21173,21142,20854,20749,20793,20605
13,93,10390,10479,10409,10433,"Georgia","Dooly",11495,11713,11570,11532,11534,11629,11702,11536,11517,11819,14854,14612,14415,14372,14246,14034,13853,13691,13709,13390
13,95,96304,95549,95019,94080,"Georgia","Dougherty",95884,96129,95783,95574,95051,95177,94990,95301,95322,95859,94513,95063,94694,93411,92742,91513,90389,89457,89200,87956
13,97,84290,86633,89398,91175,"Georgia","Douglas",92700,95504,98222,101460,106596,112370,118777,124324,128111,129703,132573,133106,133555,136024,138007,140173,141664,143376,145024,146343
13,99,12158,12132,12171,12127,"Georgia","Early",12339,12297,12185,12166,12031,12015,11974,11807,11698,11568,10983,10790,10640,10540,10450,10462,10306,10317,10286,10190
21,1,16414,16466,16451,16462,"Kentucky","Adair",17285,17471,17575,17645,17645,17695,17821,17906,17909,18029,18757,18987,18934,19124,19262,19162,19259,19287,19199,19202
21,101,44351,44459,44482,44410,"Kentucky","Henderson",44816,44787,44940,44958,45035,45107,45141,45162,45466,45496,46260,46334,46419,46338,46366,46344,46212,45867,45512,45210
21,103,14449,14700,14774,15023,"Kentucky","Henry",15097,15219,15253,15436,15546,15621,15772,15824,15934,16060,15376,15375,15336,15432,15547,15563,15834,15972,16061,16126
21,105,5280,5235,5197,5146,"Kentucky","Hickman",5248,5234,5216,5163,5063,5019,4953,4901,4893,4851,4860,4783,4737,4708,4679,4612,4607,4518,4431,4380
21,107,46455,46210,46380,46155,"Kentucky","Hopkins",46457,46076,46222,46402,46407,46190,46192,46257,46364,46167,46841,46844,46607,46424,46155,46055,45598,45293,45024,44686
21,109,12736,12837,12931,13040,"Kentucky","Jackson",13511,13597,13523,13448,13396,13493,13456,13419,13385,13243,13480,13384,13307,13391,13307,13325,13364,13422,13403,13329
21,11,10136,10361,10586,10741,"Kentucky","Bath",11128,11287,11417,11442,11466,11560,11583,11514,11708,11618,11618,11715,11780,11975,12130,12203,12246,12381,12444,12500
21,111,671002,671337,671595,672900,"Kentucky","Jefferson",694067,695246,696233,698411,699639,701057,704755,711766,717414,721594,742054,746361,751629,759183,761725,764946,767464,769828,768101,766757
21,113,35262,36071,36577,37300,"Kentucky","Jessamine",39206,39763,40649,41335,42068,43147,44590,45559,46868,47589,48682,48892,49467,50120,50871,51809,52219,53259,53757,54115
21,115,24028,24029,23986,23999,"Kentucky","Johnson",23341,23350,23360,23410,23579,23751,23872,23902,23831,23827,23385,23417,23403,23458,23252,23128,22858,22606,22391,22188
21,117,145139,146143,146731,147221,"Kentucky","Kenton",151683,151972,151720,152382,152873,153420,155178,156855,157813,158729,159961,160526,161704,163131,163623,164478,164962,165608,166292,166998
21,119,18186,17998,17948,17931,"Kentucky","Knott",17613,17499,17613,17502,17361,17429,17232,17092,17104,17126,16355,16312,16127,16092,15944,15680,15492,15244,15076,14806
21,121,31384,31482,31890,31976,"Kentucky","Knox",31846,31596,31545,31699,31778,32054,32171,32283,32414,32710,31851,31878,31494,31638,31540,31465,31471,31444,31300,31145
21,123,12747,12883,13067,13150,"Kentucky","Larue",13399,13380,13420,13272,13371,13482,13561,13578,13613,13663,14169,14179,14048,14019,14106,14110,14018,14196,14299,14398
21,125,49121,50103,50847,52015,"Kentucky","Laurel",52918,53532,54297,55096,55455,56007,56697,57278,57385,57749,58998,59359,59534,59701,59897,59919,60078,60317,60660,60813
21,127,15383,15455,15606,15800,"Kentucky","Lawrence",15587,15666,15794,15783,15960,16120,16203,16328,16467,16573,15866,15941,15891,15901,15878,15861,15839,15756,15583,15317
21,129,7875,7977,8029,7994,"Kentucky","Lee",7919,7853,7841,7869,7699,7513,7482,7429,7371,7339,7717,7707,7581,6876,6796,6746,6604,6602,7052,7403
21,13,30043,29779,29155,29028,"Kentucky","Bell",30041,29624,29784,29579,29402,29271,29127,29027,29066,28972,28709,28658,28284,28031,27826,27370,27204,26863,26487,26032
21,131,13474,13479,13589,13558,"Kentucky","Leslie",12370,12200,12188,12048,11874,11866,11723,11703,11577,11503,11278,11237,11140,10985,10830,10644,10431,10310,10151,9877
21,133,26636,26514,26237,26069,"Kentucky","Letcher",25217,24791,24762,24672,24418,24177,24053,23951,23759,23633,24534,24376,24011,23540,23357,23049,22759,22303,21813,21553
21,135,13491,13534,13513,13471,"Kentucky","Lewis",14124,13984,13701,13656,13753,13761,13889,13951,13849,13752,13837,13837,13839,13751,13830,13663,13516,13363,13268,13275
21,137,21834,22073,22403,22540,"Kentucky","Lincoln",23464,23796,23970,24253,24491,24932,25090,25169,25016,25172,24724,24721,24404,24438,24429,24342,24382,24495,24612,24549
21,139,9188,9371,9440,9481,"Kentucky","Livingston",9814,9809,9764,9682,9620,9689,9639,9573,9548,9598,9520,9502,9435,9332,9329,9289,9198,9249,9244,9194
21,141,25870,26113,26195,26276,"Kentucky","Logan",26601,26610,26660,26607,26745,26863,26946,27140,27077,27174,26851,26847,26722,26976,26812,26746,26678,27003,26983,27102
21,143,7906,7982,8009,8060,"Kentucky","Lyon",8107,8142,8131,8160,8230,8286,8383,8336,8331,8291,8329,8435,8446,8452,8411,8474,8238,8261,8171,8210
21,145,64721,64720,64405,64407,"Kentucky","McCracken",65440,64849,64616,64421,64260,64404,64658,64964,65388,65880,65515,65794,65584,65337,65318,64948,65304,65364,65307,65418
21,147,16544,16594,16634,16754,"Kentucky","McCreary",17066,16989,17057,16980,18293,18814,18824,17779,17784,17795,18328,18283,18051,17925,17922,17883,17548,17372,17290,17231
21,149,9718,9752,9841,9897,"Kentucky","McLean",9977,9847,9936,9836,9824,9789,9679,9702,9672,9607,9515,9508,9490,9453,9407,9395,9337,9216,9258,9207
21,15,72830,76117,79761,83356,"Kentucky","Boone",87006,90251,93362,96717,100936,105628,109560,112806,115999,118576,119373,121710,123412,125022,126677,128161,129503,130952,131901,133581
21,151,64239,65471,66454,67690,"Kentucky","Madison",71308,72649,73802,75204,76966,79122,80738,81275,82277,83258,83468,84775,85394,85934,87080,88212,89532,91170,92107,92987
21,153,13706,13908,13846,14036,"Kentucky","Magoffin",13317,13172,13237,13208,13196,13175,13110,13158,13051,13166,13306,13220,13061,12941,12980,12784,12668,12519,12323,12161
21,155,16944,17002,17038,17120,"Kentucky","Marion",18208,18337,18441,18547,18883,19029,19140,19195,19373,19486,19840,20001,19918,19928,19079,19212,19135,19276,19326,19273
21,157,29661,29877,30174,30250,"Kentucky","Marshall",30121,30126,30211,30399,30550,30705,31007,31239,31226,31200,31451,31261,31261,31215,30993,31059,31280,31318,31202,31100
